trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
Almassora - Platja 8am,01,1,08:15:00,08:15:00,,,,,,
Almassora - Platja 8am,02,2,08:20:00,08:20:00,,,,,,
Almassora - Platja 8am,03,3,08:23:00,08:23:00,,,,,,
Almassora - Platja 8am,04,4,08:26:00,08:26:00,,,,,,
Almassora - Platja 8am,05,5,08:29:00,08:29:00,,,,,,
Almassora - Platja 8am,06,6,08:34:00,08:34:00,,,,,,
Almassora - Platja 8am,07,7,08:35:00,08:35:00,,,,,,
Almassora - Platja 8am,08,8,08:37:00,08:37:00,,,,,,
Almassora - Platja 8am,09,9,08:38:00,08:38:00,,,,,,
Almassora - Platja 8am,10,10,08:40:00,08:40:00,,,,,,
Almassora - Platja 8am,11,11,08:41:00,08:41:00,,,,,,
Almassora - Platja 8am,12,12,08:42:00,08:42:00,,,,,,
Almassora - Platja 8am,13,13,08:43:00,08:43:00,,,,,,
Almassora - Platja 8am,14,14,08:48:00,08:48:00,,,,,,
Almassora - Platja 8am,15,15,08:55:00,08:55:00,,,,,,
Almassora - Platja 14pm,01,1,14:15:00,14:15:00,,,,,,
Almassora - Platja 14pm,02,2,14:20:00,14:20:00,,,,,,
Almassora - Platja 14pm,03,3,14:23:00,14:23:00,,,,,,
Almassora - Platja 14pm,04,4,14:26:00,14:26:00,,,,,,
Almassora - Platja 14pm,05,5,14:29:00,14:29:00,,,,,,
Almassora - Platja 14pm,06,6,14:34:00,14:34:00,,,,,,
Almassora - Platja 14pm,07,7,14:35:00,14:35:00,,,,,,
Almassora - Platja 14pm,08,8,14:37:00,14:37:00,,,,,,
Almassora - Platja 14pm,09,9,14:38:00,14:38:00,,,,,,
Almassora - Platja 14pm,10,10,14:40:00,14:40:00,,,,,,
Almassora - Platja 14pm,11,11,14:41:00,14:41:00,,,,,,
Almassora - Platja 14pm,12,12,14:42:00,14:42:00,,,,,,
Almassora - Platja 14pm,13,13,14:43:00,14:43:00,,,,,,
Almassora - Platja 14pm,14,14,14:48:00,14:48:00,,,,,,
Almassora - Platja 14pm,15,15,14:55:00,14:55:00,,,,,,
Almassora - Platja 17pm,01,1,17:30:15,17:30:15,,,,,,
Almassora - Platja 17pm,02,2,17:35:15,17:35:15,,,,,,
Almassora - Platja 17pm,03,3,17:40:15,17:40:15,,,,,,
Almassora - Platja 17pm,04,4,17:41:15,17:41:15,,,,,,
Almassora - Platja 17pm,05,5,17:44:15,17:44:15,,,,,,
Almassora - Platja 17pm,06,6,17:49:15,17:49:15,,,,,,
Almassora - Platja 17pm,07,7,17:50:15,17:50:15,,,,,,
Almassora - Platja 17pm,08,8,17:52:15,17:52:15,,,,,,
Almassora - Platja 17pm,09,9,17:53:15,17:53:15,,,,,,
Almassora - Platja 17pm,10,10,17:55:15,17:55:15,,,,,,
Almassora - Platja 17pm,11,11,17:56:15,17:56:15,,,,,,
Almassora - Platja 17pm,12,12,17:57:15,17:57:15,,,,,,
Almassora - Platja 17pm,13,13,17:58:15,17:58:15,,,,,,
Almassora - Platja 17pm,14,14,18:03:15,18:03:15,,,,,,
Almassora - Platja 17pm,15,15,18:15:15,18:15:15,,,,,,
Almassora - Platja 9am,01,1,09:45:00,09:45:00,,,,,,
Almassora - Platja 9am,02,2,09:50:00,09:50:00,,,,,,
Almassora - Platja 9am,03,3,09:53:00,09:53:00,,,,,,
Almassora - Platja 9am,04,4,09:56:00,09:56:00,,,,,,
Almassora - Platja 9am,05,5,09:59:00,09:59:00,,,,,,
Almassora - Platja 9am,06,6,10:04:00,10:04:00,,,,,,
Almassora - Platja 9am,07,7,10:05:00,10:05:00,,,,,,
Almassora - Platja 9am,08,8,10:07:00,10:07:00,,,,,,
Almassora - Platja 9am,09,9,10:08:00,10:08:00,,,,,,
Almassora - Platja 9am,10,10,10:10:00,10:10:00,,,,,,
Almassora - Platja 9am,11,11,10:11:00,10:11:00,,,,,,
